"Probe_ID","Gene_Symbol","Gene_Name","logFC","AveExpr","t","P.Value","adj.P.Val"
"203637_s_at","MID1","midline 1",0.896666666666667,4.895,7.08034766886499,0.000159161816678196,0.959187881564939
"209949_at","NCF2","neutrophil cytosolic factor 2",0.996666666666668,6.655,6.17502634333894,0.000381051101328413,0.959187881564939
"205497_at","ZNF175","zinc finger protein 175",0.783333333333331,5.34833333333333,5.5515493939518,0.000734633460367365,0.959187881564939
"202074_s_at","OPTN","optineurin",0.803333333333335,8.51833333333333,5.32182743957946,0.000947425243770002,0.959187881564939
"212992_at","AHNAK2","AHNAK nucleoprotein 2",0.596666666666668,7.27166666666667,4.70434355125628,0.00194571208372668,0.959187881564939
"200878_at","EPAS1","endothelial PAS domain protein 1",0.653333333333336,11.1866666666667,4.38094625131227,0.00289904482583804,0.959187881564939
"207604_s_at","SLC4A7","solute carrier family 4 member 7",0.723333333333334,7.21833333333333,4.24533294800918,0.00344252422007506,0.959187881564939
"204855_at","SERPINB5","serpin family B member 5",0.630000000000001,7.515,4.10576881598662,0.00412020976683996,0.959187881564939
"219440_at","RAI2","retinoic acid induced 2",0.66333333333333,5.88833333333333,4.08325389608177,0.00424255967270661,0.959187881564939
"209576_at","GNAI1","G protein subunit alpha i1",0.67,4.50166666666667,3.9744924257501,0.00489195590678994,0.959187881564939
"204546_at","KIAA0513","KIAA0513",0.613333333333333,8.68,3.90081742212572,0.00539285238372993,0.959187881564939
"205959_at","MMP13","matrix metallopeptidase 13",0.586666666666667,5.50333333333333,3.85883158784343,0.00570297953045775,0.959187881564939
"204446_s_at","ALOX5","arachidonate 5-lipoxygenase",0.68,6.11666666666667,3.74919126313353,0.00660767281362193,0.959187881564939
"209288_s_at","CDC42EP3","CDC42 effector protein 3",0.813333333333333,5.01,3.70578551584459,0.00700771948920446,0.959187881564939
"215189_at","KRT86","keratin 86",0.616666666666669,9.32166666666667,3.53178556893577,0.00889410808622622,0.959187881564939
"212451_at","SECISBP2L","SECIS binding protein 2 like",1.05333333333334,7.21333333333333,3.44991205688908,0.00996468226916697,0.959187881564939
